"선수명","생년월일","입단연도","은퇴연도","경력","경기","생월","포지션"
"김기홍",1970-02-26,1989,1993,4,90,2,"타자"
"이상번",1970-03-05,1989,1997,8,135,3,"투수"
"박정은",1970-04-15,1989,1989,1,2,4,"투수"
"송명철",1970-05-01,1989,1995,5,23,5,"타자"
"박용준",1970-06-17,1989,1994,6,102,6,"투수"
"박병호",1970-07-09,1989,1996,7,160,7,"타자"
"김용선",1970-08-09,1989,1997,9,410,8,"타자"
"유창균",1970-10-23,1989,1989,1,1,10,"투수"
"이경복",1970-11-19,1989,1998,10,370,11,"타자"
"추상완",1971-01-28,1989,1989,1,1,1,"타자"
"이은승",1971-02-12,1989,1997,9,40,2,"투수"
"홍길남",1971-02-24,1989,1997,8,54,2,"투수"
"김종석",1971-02-28,1989,2004,15,974,2,"타자"
"강태원",1971-05-15,1989,2001,13,355,5,"투수"
"정동해",1971-10-28,1989,1989,1,2,10,"투수"
"이효봉",1963-01-26,1990,1990,1,7,1,"투수"
"박은진",1964-09-27,1990,1990,1,1,9,"타자"
"진상봉",1965-04-06,1990,1997,8,399,4,"타자"
"조찬관",1965-06-20,1990,1990,1,1,6,"타자"
"정삼룡",1965-09-20,1990,1992,3,71,9,"타자"
"유태완",1965-09-28,1990,1990,1,13,9,"타자"
"김보선",1966-03-15,1990,1992,3,37,3,"투수"
"윤성훈",1966-06-04,1990,1992,3,150,6,"타자"
"김창기",1966-07-25,1990,1990,1,1,7,"투수"
"김종헌",1966-07-27,1990,2000,11,825,7,"타자"
"김성재",1966-10-08,1990,1990,1,9,10,"타자"
"지화동",1967-01-20,1990,1994,5,404,1,"타자"
"유충돌",1967-02-12,1990,1991,2,33,2,"타자"
"이태일",1967-04-09,1990,1996,6,129,4,"투수"
"김성일",1967-05-03,1990,1992,3,162,5,"타자"
"최현준",1967-05-03,1990,1992,3,17,5,"투수"
"김선진",1967-05-05,1990,2000,11,816,5,"타자"
"이병훈",1967-05-17,1990,1996,7,515,5,"타자"
"박홍철",1967-06-12,1990,1993,3,8,6,"타자"
"최용철",1967-06-25,1990,1990,1,2,6,"타자"
"이호성",1967-07-17,1990,2001,12,1090,7,"타자"
"김도형",1967-07-28,1990,1991,2,15,7,"투수"
"손길호",1967-08-03,1990,1991,2,109,8,"타자"
"서준룡",1967-08-29,1990,1991,2,21,8,"타자"
"김태형",1967-09-12,1990,2001,12,827,9,"타자"
"김우현",1967-10-13,1990,1990,1,4,10,"타자"
"최광천",1967-10-28,1990,1990,1,2,10,"타자"
"공필성",1967-11-11,1990,2000,11,1184,11,"타자"
"박동희",1968-01-04,1990,2001,12,251,1,"투수"
"강형석",1968-01-07,1990,1997,7,240,1,"타자"
"임형석",1968-01-29,1990,1997,8,628,1,"타자"
"전봉석",1968-02-28,1990,1997,6,78,2,"타자"
"김력",1968-02-28,1990,1993,3,8,2,"투수"
"김경기",1968-04-05,1990,2001,12,1182,4,"타자"
"강광회",1968-06-23,1990,1994,3,33,6,"타자"
"김종철",1968-07-18,1990,1993,4,34,7,"투수"
"정회열",1968-10-09,1990,1999,10,621,10,"타자"
"김동수",1968-10-27,1990,2009,20,2039,10,"타자"
"원근호",1968-11-13,1990,1990,1,4,11,"투수"
"조정수",1969-05-02,1990,1991,2,13,5,"투수"
"최달호",1969-09-02,1990,1992,3,27,9,"타자"
"강호규",1970-04-28,1990,1990,1,1,4,"타자"
"강민기",1970-08-27,1990,1990,1,9,8,"투수"
"조영상",1970-10-26,1990,1993,4,52,10,"투수"
"박인구",1970-12-30,1990,1993,4,70,12,"타자"
"이규창",1971-02-26,1990,1992,3,13,2,"타자"
"이상훈",1971-03-21,1990,2004,15,339,3,"투수"
"최향남",1971-03-28,1990,2013,15,293,3,"투수"
"손병희",1971-04-20,1990,1991,2,18,4,"투수"
"이상목",1971-04-25,1990,2008,17,439,4,"투수"
"강대성",1971-05-09,1990,1995,4,11,5,"투수"
"이동채",1971-06-01,1990,1994,3,58,6,"타자"
"조필현",1971-07-05,1990,1994,4,111,7,"타자"
"최치용",1971-07-16,1990,1990,1,6,7,"타자"
"서정필",1971-08-05,1990,1990,1,3,8,"투수"
"권영구",1971-08-20,1990,1990,1,6,8,"투수"
"최태영",1971-08-30,1990,1990,1,1,8,"투수"
"양민석",1971-10-23,1990,1991,2,4,10,"타자"
"권준헌",1971-12-01,1990,1999,10,475,12,"타자"
"장주덕",1972-01-05,1990,1992,3,15,1,"타자"
"김병두",1972-01-23,1990,1993,4,60,1,"타자"
"박현수",1972-01-28,1990,1992,3,39,1,"타자"
"임진수",1972-02-21,1990,1991,2,7,2,"타자"
"정성훈",1972-05-17,1990,1991,2,3,5,"타자"
"정경훈",1972-05-22,1990,1999,10,704,5,"타자"
"홍현우",1972-09-28,1990,2005,16,1483,9,"타자"
"노병오",1983-09-07,1990,2007,6,57,9,"투수"
"구동환",1963-03-07,1991,1991,1,3,3,"타자"
"최재룡",1964-06-15,1991,1991,1,28,6,"타자"
"정인조",1964-11-23,1991,1991,1,2,11,"투수"
"정영진",1965-11-22,1991,1993,3,189,11,"타자"
"진정필",1966-02-10,1991,1991,1,2,2,"타자"
"송진우",1966-02-16,1991,2001,4,5,2,"타자"
"김영운",1966-04-14,1991,1991,1,1,4,"타자"
"김기완",1966-06-04,1991,1991,1,9,6,"투수"
"신동수",1966-10-01,1991,1991,1,1,10,"타자"
"최준호",1966-10-20,1991,1993,2,30,10,"타자"
"김태석",1967-02-12,1991,2002,11,250,2,"투수"
"김경수",1967-04-09,1991,1993,3,24,4,"타자"
"김호",1967-05-03,1991,2002,11,1170,5,"타자"
"윤혁",1967-05-22,1991,1995,4,199,5,"타자"
"구대진",1967-06-02,1991,1991,1,7,6,"투수"
"공봉구",1967-07-18,1991,1991,1,48,7,"타자"
"이용호",1967-08-28,1991,1991,1,1,8,"투수"
"조규제",1967-10-07,1991,2005,15,508,10,"투수"
"양용모",1967-12-20,1991,2002,10,746,12,"타자"
"박진석",1968-01-08,1991,2000,9,171,1,"투수"
"최우석",1968-01-15,1991,1991,1,2,1,"투수"
"권영일",1968-01-16,1991,1992,2,8,1,"투수"
"염경엽",1968-03-01,1991,2000,10,896,3,"타자"
"권영진",1968-03-15,1991,1996,3,5,3,"투수"
"박일현",1968-03-20,1991,1991,1,8,3,"타자"
"이종택",1968-03-26,1991,1991,1,7,3,"타자"
"김원근",1968-04-07,1991,1995,4,60,4,"타자"
"백성진",1968-04-09,1991,1997,4,127,4,"타자"
"강진규",1968-05-30,1991,1992,2,36,5,"타자"
"임성우",1968-06-02,1991,1993,3,54,6,"타자"
"김기덕",1968-06-04,1991,2002,12,325,6,"투수"
"윤용하",1968-06-07,1991,1994,4,234,6,"타자"
"송구홍",1968-06-23,1991,2000,9,712,6,"타자"
"김기덕",1968-07-02,1991,1996,4,36,7,"투수"
"오희주",1968-07-02,1991,1995,4,33,7,"투수"
"전일수",1968-07-02,1991,1994,3,37,7,"투수"
"김익재",1968-07-23,1991,1999,9,205,7,"투수"
"정학원",1968-08-03,1991,1995,3,68,8,"타자"
"강남규",1968-08-04,1991,1991,1,2,8,"타자"
"김동수",1968-08-04,1991,1991,1,20,8,"투수"
"이승배",1968-08-15,1991,1991,1,2,8,"투수"
"김석연",1968-08-16,1991,1993,3,71,8,"타자"
"이영재",1968-09-02,1991,1993,3,32,9,"타자"
"주경업",1968-09-02,1991,1993,3,58,9,"타자"
"나진균",1968-09-25,1991,1991,1,11,9,"타자"
"임주택",1968-09-25,1991,2002,12,851,9,"타자"
"최해식",1968-09-30,1991,2000,10,682,9,"타자"
"김홍기",1968-10-03,1991,1993,3,84,10,"타자"
"강길용",1968-10-14,1991,1999,9,237,10,"투수"
"박기택",1968-11-10,1991,1995,4,94,11,"타자"
"소순배",1968-11-19,1991,1991,1,3,11,"타자"
"이석구",1968-11-20,1991,1991,1,3,11,"투수"
"김기열",1968-11-23,1991,1991,1,7,11,"투수"
"박천유",1968-12-22,1991,1991,1,4,12,"타자"
"송인호",1968-12-27,1991,1997,7,430,12,"타자"
"김인권",1968-12-28,1991,1993,3,67,12,"투수"
"박성기",1969-01-20,1991,1999,9,220,1,"투수"
"고승훈",1969-01-21,1991,1991,1,1,1,"타자"
"박정태",1969-01-27,1991,2004,13,1167,1,"타자"
"오종우",1969-02-07,1991,1992,2,6,2,"투수"
"전준호",1969-02-15,1991,2009,19,2091,2,"타자"
"김기태",1969-05-23,1991,2005,15,1544,5,"타자"
"김상진",1970-03-15,1991,2003,13,359,3,"투수"
"김민태",1970-03-23,1991,1998,8,139,3,"투수"
"김상엽",1970-05-11,1991,1992,2,4,5,"타자"
"김정훈",1970-07-29,1991,1991,1,7,7,"타자"
"배현우",1970-11-02,1991,1991,1,3,11,"투수"
"전태건",1971-02-06,1991,1991,1,3,2,"투수"
"가내영",1971-03-29,1991,2003,13,291,3,"투수"
"안명호",1971-05-14,1991,1993,2,80,5,"타자"
"이병석",1971-05-17,1991,2003,10,235,5,"투수"
"김인철",1971-07-14,1991,2007,9,381,7,"타자"
"최덕현",1971-07-26,1991,1992,2,12,7,"타자"
"양회열",1971-09-09,1991,1996,5,204,9,"타자"
"박종철",1971-10-12,1991,1995,4,27,10,"투수"
"임돈영",1971-11-02,1991,1991,1,19,11,"타자"
"최한림",1971-11-15,1991,1997,7,163,11,"투수"
"박규대",1972-01-15,1991,1999,6,59,1,"타자"
"이근엽",1972-01-21,1991,1999,8,406,1,"타자"
"이상범",1972-02-03,1991,1992,2,5,2,"투수"
"정재훈",1972-03-14,1991,1991,1,7,3,"타자"
"신상윤",1972-03-22,1991,1997,7,33,3,"투수"
"이우수",1972-04-20,1991,1996,6,284,4,"타자"
"김태형",1972-04-25,1991,1996,6,161,4,"투수"
"강병규",1972-05-20,1991,2000,10,247,5,"투수"
"김성철",1972-06-23,1991,1991,1,2,6,"타자"
"김승남",1972-06-28,1991,1997,5,84,6,"투수"
"김원형",1972-07-05,1991,2010,20,545,7,"투수"
"박경완",1972-07-11,1991,2013,23,2043,7,"타자"
"유성기",1972-10-09,1991,1993,3,13,10,"타자"
"최영술",1972-10-28,1991,1994,4,37,10,"타자"
"이종민",1972-12-25,1991,2002,10,794,12,"타자"
"손영철",1972-12-27,1991,1996,5,45,12,"투수"
"김민재",1973-01-03,1991,2009,19,2111,1,"타자"
"이종열",1973-01-28,1991,2009,18,1654,1,"타자"
"김일훈",1973-02-28,1991,1995,3,14,2,"타자"
"김재덕",1973-05-01,1991,1998,6,130,5,"타자"
"김성식",1975-05-23,1991,1993,3,34,5,"투수"
"김만조",1966-10-12,1992,1993,2,2,10,"투수"
"황태호",1967-04-11,1992,1992,1,1,4,"투수"
"장광호",1967-04-14,1992,2001,10,649,4,"타자"
"김미호",1967-10-07,1992,1997,6,170,10,"타자"
"김석기",1967-10-07,1992,1997,6,128,10,"투수"
"강현철",1968-02-15,1992,1993,2,9,2,"타자"
"박철희",1968-02-15,1992,1992,1,23,2,"타자"
"김태룡",1968-02-23,1992,2002,10,620,2,"타자"
"김상재",1968-04-24,1992,1994,3,143,4,"타자"
"김상현",1968-04-28,1992,1997,6,165,4,"투수"
"장덕영",1968-06-03,1992,1993,2,19,6,"타자"
"오봉옥",1968-07-08,1992,2006,15,488,7,"투수"
"박재벌",1968-09-17,1992,1998,7,393,9,"타자"
"신현대",1969-01-29,1992,1992,1,5,1,"투수"
"유영환",1969-02-15,1992,1994,3,79,2,"타자"
"임창식",1969-03-07,1992,1999,6,118,3,"투수"
"배숙현",1969-03-30,1992,1992,1,2,3,"투수"
"윤형배",1969-04-20,1992,1999,8,163,4,"투수"
"차명석",1969-04-20,1992,2001,10,365,4,"투수"
"강두곤",1969-04-29,1992,1995,4,74,4,"타자"
"김병조",1969-05-02,1992,1997,6,297,5,"타자"
"이요섭",1969-05-02,1992,1992,1,2,5,"투수"
"김정민",1969-05-24,1992,1992,1,2,5,"타자"
"장원진",1969-06-15,1992,2007,15,1500,6,"타자"
"한기철",1969-06-20,1992,1997,4,244,6,"타자"
"김유진",1969-06-25,1992,1999,4,38,6,"투수"
"민원기",1969-07-05,1992,1998,7,166,7,"투수"
"이상현",1969-07-15,1992,1993,2,8,7,"투수"
"신일호",1969-08-12,1992,1992,1,19,8,"타자"
"지연규",1969-08-15,1992,2006,11,132,8,"투수"
"김형태",1969-09-07,1992,1992,1,2,9,"타자"
"유영원",1969-09-08,1992,1993,2,27,9,"타자"
"김홍집",1969-09-16,1992,1994,3,22,9,"타자"
"가득염",1969-10-01,1992,2010,19,800,10,"투수"
"서정민",1969-10-10,1992,1995,3,63,10,"타자"
"박지환",1969-10-20,1992,1997,6,133,10,"타자"
"김태한",1969-10-22,1992,2003,10,318,10,"투수"
"권명철",1969-10-28,1992,2004,11,247,10,"투수"
"박철수",1969-11-16,1992,1992,1,7,11,"투수"
"유태영",1969-12-12,1992,1992,1,7,12,"타자"
"김상모",1969-12-19,1992,1992,1,1,12,"타자"
"동봉철",1970-01-02,1992,1999,8,750,1,"타자"
"강성우",1970-01-05,1992,2005,14,958,1,"타자"
"구한성",1970-01-07,1992,1998,6,161,1,"타자"
"조만형",1970-01-12,1992,1992,1,8,1,"타자"
"김일혁",1970-01-26,1992,1995,3,132,1,"타자"
"박계원",1970-02-04,1992,2002,9,717,2,"타자"
"우효동",1970-02-09,1992,1994,2,21,2,"타자"
"김정준",1970-02-11,1992,1992,1,5,2,"타자"
"안경현",1970-02-13,1992,2010,19,1766,2,"타자"
"박광율",1970-02-27,1992,1992,1,1,2,"타자"
"정민태",1970-03-01,1992,2008,15,290,3,"투수"
"조경택",1970-11-25,1992,2003,12,770,11,"타자"
"김태동",1970-12-12,1992,1995,3,25,12,"타자"
"김성준",1971-06-21,1992,1992,1,1,6,"투수"
"노석기",1971-08-04,1992,1992,1,3,8,"투수"
"문귀석",1971-09-14,1992,1992,1,8,9,"투수"
"김형택",1971-10-11,1992,1992,1,8,10,"투수"
"조중석",1972-03-02,1992,1992,1,3,3,"투수"
"정민철",1972-03-28,1992,2009,16,393,3,"투수"
"김효용",1972-05-10,1992,1992,1,2,5,"타자"
"김흥만",1972-06-10,1992,1992,1,3,6,"투수"
"전상렬",1972-06-12,1992,2008,16,1196,6,"타자"
"전종진",1972-08-06,1992,1992,1,8,8,"타자"
"박상현",1972-08-18,1992,1998,6,185,8,"타자"
"나성열",1972-09-09,1992,1998,7,48,9,"투수"
"오상욱",1972-10-06,1992,1992,1,1,10,"타자"
"김성기",1972-10-24,1992,1993,2,20,10,"타자"
"임규대",1972-11-02,1992,1994,2,9,11,"투수"
"이전진",1972-11-14,1992,1996,4,30,11,"타자"
"신동주",1972-12-14,1992,2006,15,1041,12,"타자"
"김봉영",1973-02-25,1992,1997,5,45,2,"투수"
"염종석",1973-03-20,1992,2008,16,356,3,"투수"
"양승철",1973-04-04,1992,1994,3,50,4,"투수"
"박종호",1973-07-27,1992,2009,17,1539,7,"타자"
"안병원",1973-10-03,1992,2003,12,224,10,"투수"
"이재주",1973-12-25,1992,2009,17,981,12,"타자"
"이태환",1974-03-09,1992,1994,3,19,3,"타자"
"황윤성",1974-03-14,1992,2005,12,258,3,"타자"
"김인철",1974-08-12,1992,1994,2,20,8,"타자"
"조병일",1967-12-09,1993,1994,2,19,12,"타자"
"노춘섭",1968-08-05,1993,1995,3,18,8,"투수"
"조규철",1969-03-15,1993,1999,7,248,3,"타자"
"김민호",1969-03-19,1993,2003,11,1113,3,"타자"
"전호근",1969-05-02,1993,1993,1,1,5,"타자"
"양준혁",1969-05-26,1993,2010,18,2135,5,"타자"
"황일권",1969-06-09,1993,1997,4,139,6,"타자"
"김종성",1969-07-23,1993,1995,3,126,7,"타자"
"구대성",1969-08-02,1993,2010,13,569,8,"투수"
"이민호",1969-09-02,1993,2000,8,555,9,"타자"
"김성열",1969-10-06,1993,1994,2,34,10,"타자"
"김충민",1970-03-05,1993,2000,8,415,3,"타자"
"김훈",1970-03-11,1993,1998,5,239,3,"타자"
"김정민",1970-03-15,1993,2009,16,696,3,"타자"
"원현식",1970-03-15,1993,1994,2,26,3,"타자"
"이용석",1970-03-20,1993,1993,1,63,3,"타자"
"송태일",1970-04-05,1993,1996,4,215,4,"타자"
"김정훈",1970-04-06,1993,1994,2,15,4,"투수"
"최홍주",1970-04-23,1993,1995,3,6,4,"타자"
"이용호",1970-05-06,1993,2002,7,95,5,"투수"
"지화선",1970-05-10,1993,1997,5,229,5,"타자"
"허준",1970-05-29,1993,2004,12,1001,5,"타자"
"고기성",1970-06-27,1993,1998,6,249,6,"타자"
"박상근",1970-07-05,1993,2001,7,119,7,"투수"
"김현욱",1970-07-06,1993,2004,10,519,7,"투수"
"이재만",1970-07-14,1993,1999,6,89,7,"투수"
"추성건",1970-08-05,1993,2001,7,391,8,"타자"
"손차훈",1970-08-11,1993,2001,9,485,8,"타자"
"김갑중",1970-08-15,1993,1999,5,223,8,"타자"
"이종범",1970-08-15,1993,2011,16,1706,8,"타자"
"최태원",1970-08-19,1993,2003,11,1284,8,"타자"
"이민호",1970-08-25,1993,1996,2,12,8,"타자"
"박충식",1970-09-03,1993,2002,9,241,9,"투수"
"공의식",1970-09-20,1993,1997,3,168,9,"타자"
"김경하",1970-10-10,1993,1996,3,157,10,"타자"
"최규하",1970-10-10,1993,1996,3,38,10,"타자"
"한혁수",1970-10-11,1993,1995,3,134,10,"타자"
"당신상",1970-10-15,1993,1994,2,7,10,"타자"
"정영규",1970-11-03,1993,2001,9,655,11,"타자"
"계기범",1970-12-29,1993,1997,4,76,12,"타자"
"박기복",1971-01-16,1993,1995,2,10,1,"타자"
"김홍집",1971-01-30,1993,2003,11,255,1,"투수"
"이지환",1971-03-09,1993,1998,6,126,3,"타자"
"성영재",1971-03-09,1993,2004,12,304,3,"투수"
"이상훈",1971-03-11,1993,2004,8,308,3,"투수"
"권재광",1971-04-27,1993,1996,4,64,4,"타자"
"김경원",1971-08-18,1993,2001,9,303,8,"투수"
"강봉수",1971-12-09,1993,1996,4,131,12,"투수"
"신경호",1972-03-07,1993,1993,1,3,3,"타자"
"허삼영",1972-06-08,1993,1995,2,4,6,"투수"
"우태원",1972-07-24,1993,1994,2,16,7,"타자"
"김정수",1972-11-16,1993,1996,2,7,11,"타자"
"조용수",1973-06-25,1993,1993,1,2,6,"투수"
"김선우",1973-07-02,1993,1993,1,12,7,"타자"
"곽재성",1973-07-24,1993,1993,1,2,7,"투수"
"이경호",1973-09-07,1993,1993,1,13,9,"타자"
"소상영",1973-10-29,1993,1997,5,91,10,"타자"
"강효섭",1973-11-16,1993,1996,4,41,11,"타자"
"정호진",1974-01-05,1993,1998,5,79,1,"타자"
"오명종",1974-01-14,1993,1993,1,5,1,"타자"
"노승욱",1974-03-10,1993,2006,10,243,3,"투수"
"김성준",1974-05-20,1993,1993,1,2,5,"타자"
"양윤기",1974-05-22,1993,1996,2,3,5,"투수"
"노장진",1974-08-10,1993,2006,11,406,8,"투수"
"고성범",1974-09-13,1993,1995,3,11,9,"투수"
"장용대",1974-10-23,1993,2001,8,116,10,"타자"
"최한경",1974-11-20,1993,1996,4,88,11,"투수"
"박진철",1975-02-28,1993,2002,8,135,2,"투수"
"이우혁",1975-06-17,1993,1999,4,41,6,"투수"
"임성주",1965-05-02,1994,1996,3,28,5,"타자"
"하득인",1966-10-09,1994,1997,4,326,10,"타자"
"길랑균",1968-10-14,1994,1994,1,8,10,"타자"
"방극천",1969-03-19,1994,1995,2,2,3,"투수"
"박재용",1969-06-16,1994,2000,7,546,6,"타자"
"임수혁",1969-06-17,1994,2000,7,488,6,"타자"
"박철홍",1970-03-16,1994,2001,6,108,3,"투수"
"박상수",1970-06-29,1994,1994,1,3,6,"타자"
"정기창",1970-12-21,1994,1998,5,177,12,"타자"
"서용빈",1971-01-02,1994,2006,9,828,1,"타자"
"박재호",1971-02-01,1994,1994,1,10,2,"타자"
"이숭용",1971-03-10,1994,2011,18,2001,3,"타자"
"김신",1971-03-15,1994,1994,1,2,3,"타자"
"윤기수",1971-03-19,1994,1996,3,153,3,"타자"
"이승환",1971-03-20,1994,1994,1,6,3,"투수"
"한태균",1971-03-22,1994,2003,9,191,3,"투수"
"최상덕",1971-03-31,1994,2009,15,278,3,"투수"
"조원우",1971-04-08,1994,2008,15,1368,4,"타자"
"고형욱",1971-04-17,1994,1999,5,98,4,"투수"
"김성한",1971-04-17,1994,1997,4,48,4,"투수"
"장재중",1971-05-19,1994,2003,10,596,5,"타자"
"유지현",1971-05-25,1994,2004,11,1108,5,"타자"
"감병훈",1971-05-25,1994,1999,6,30,5,"투수"
"최호원",1971-06-14,1994,1999,4,28,6,"투수"
"강상수",1971-06-22,1994,2006,13,450,6,"투수"
"손동일",1971-07-05,1994,1999,6,203,7,"타자"
"곽병찬",1971-07-15,1994,1996,3,11,7,"투수"
"최재영",1971-08-05,1994,1994,1,6,8,"투수"
"임채영",1971-08-07,1994,1996,3,82,8,"타자"
"김성",1971-08-10,1994,1996,2,32,8,"타자"
"김태균",1971-08-19,1994,2007,14,1234,8,"타자"
"최동수",1971-09-11,1994,2013,19,1293,9,"타자"
"인현배",1971-10-04,1994,2000,5,45,10,"투수"
"김광현",1971-10-07,1994,1999,6,77,10,"타자"
"김성태",1971-10-10,1994,1997,3,71,10,"타자"
"길배진",1971-10-19,1994,1994,1,8,10,"투수"
"김한수",1971-10-30,1994,2007,14,1497,10,"타자"
"전형도",1971-10-30,1994,2001,8,387,10,"타자"
"나영철",1971-10-30,1994,1995,2,5,10,"투수"
"정진식",1971-11-15,1994,2001,5,87,11,"타자"
"홍우태",1971-11-19,1994,2001,8,153,11,"투수"
"이군옥",1971-12-27,1994,1996,2,9,12,"타자"
"최찬욱",1972-01-18,1994,1995,2,22,1,"타자"
"최병국",1972-01-22,1994,1994,1,5,1,"타자"
"김종훈",1972-01-29,1994,2007,14,1259,1,"타자"
"최익성",1972-02-11,1994,2005,12,621,2,"타자"
"허문회",1972-02-12,1994,2003,10,523,2,"타자"
"박창현",1972-02-12,1994,1999,4,37,2,"투수"
"신진수",1972-02-28,1994,1998,5,159,2,"타자"
"최형현",1972-03-28,1994,1997,3,46,3,"타자"
"김주성",1972-05-05,1994,1996,3,171,5,"타자"
"김민국",1972-05-27,1994,1997,4,66,5,"투수"
"김종국",1972-09-25,1994,1994,1,1,9,"투수"
"장진성",1972-10-20,1994,1997,2,15,10,"타자"
"유진우",1972-11-24,1994,1995,2,20,11,"타자"
"배훈",1972-12-16,1994,1994,1,15,12,"타자"
"곽채진",1973-03-01,1994,2003,10,218,3,"투수"
"이동수",1973-03-24,1994,2003,10,674,3,"타자"
"한성곤",1973-05-22,1994,1994,1,3,5,"타자"
"김민범",1973-06-07,1994,2007,10,234,6,"투수"
"김정규",1973-08-27,1994,1999,5,41,8,"타자"
"박태웅",1974-01-16,1994,1994,1,5,1,"투수"
"강희석",1974-02-07,1994,2001,5,75,2,"투수"
"김정윤",1974-03-18,1994,1997,4,42,3,"타자"
"최승민",1974-03-21,1994,1999,5,53,3,"투수"
"지윤석",1974-04-03,1994,1994,1,4,4,"타자"
"마원성",1974-04-16,1994,1996,2,14,4,"투수"
"김지영",1974-04-21,1994,2002,7,130,4,"타자"
"서정민",1974-06-08,1994,1994,1,10,6,"투수"
"강석",1974-07-01,1994,1994,1,7,7,"타자"
"공유선",1974-08-12,1994,1994,1,13,8,"타자"
"유태준",1975-01-22,1994,1994,1,5,1,"타자"
"박종무",1975-03-03,1994,1994,1,8,3,"타자"
"이요한",1975-03-26,1994,1994,1,1,3,"타자"
"박지철",1975-04-13,1994,2009,14,307,4,"투수"
"심정수",1975-05-05,1994,2008,15,1450,5,"타자"
"박지상",1975-05-19,1994,1996,3,229,5,"타자"
"이도형",1975-05-24,1994,2010,15,1155,5,"타자"
"조연제",1975-06-21,1994,1994,1,10,6,"타자"
"문창환",1975-07-09,1994,2001,3,37,7,"투수"
"함석원",1975-07-17,1994,1998,5,62,7,"타자"
"윤민철",1975-07-25,1994,1994,1,4,7,"투수"
"박종호",1975-07-26,1994,1994,1,8,7,"타자"
"김명호",1975-08-24,1994,1994,1,8,8,"타자"
"조문식",1975-09-29,1994,2000,3,6,9,"투수"
"김재현",1975-10-02,1994,2010,16,1770,10,"타자"
"주형광",1976-03-01,1994,2007,14,386,3,"투수"
"김경환",1970-07-11,1995,1995,1,9,7,"투수"
"마해영",1970-08-14,1995,2008,14,1501,8,"타자"
"조한철",1970-08-17,1995,1995,1,17,8,"투수"
"김영일",1971-03-14,1995,1998,4,156,3,"타자"
"박종일",1972-03-09,1995,2001,6,447,3,"타자"
"송재용",1972-03-14,1995,1995,1,17,3,"투수"
"안윤호",1972-03-23,1995,1995,1,1,3,"투수"
"김병철",1972-04-01,1995,1997,2,23,4,"타자"
"이보형",1972-04-06,1995,1997,3,77,4,"타자"
"차상욱",1972-04-07,1995,1996,2,87,4,"타자"
"김영진",1972-04-09,1995,2001,6,406,4,"타자"
"서석영",1972-04-30,1995,1996,2,4,4,"타자"
"위재영",1972-05-21,1995,2006,12,350,5,"투수"
"하상도",1972-06-07,1995,1995,1,27,6,"타자"
"이원식",1972-06-15,1995,2005,9,149,6,"투수"
"강인권",1972-06-26,1995,2006,12,710,6,"타자"
"박성진",1972-07-09,1995,1997,3,16,7,"투수"
"박보현",1972-07-19,1995,2002,7,136,7,"투수"
"박석진",1972-07-19,1995,2008,13,381,7,"투수"
"공용우",1972-08-12,1995,1998,3,15,8,"투수"
"정의성",1972-08-30,1995,1995,1,21,8,"투수"
"김재걸",1972-09-07,1995,2009,13,1125,9,"타자"
"박현승",1972-09-12,1995,2008,13,1167,9,"타자"
"남상규",1972-10-09,1995,1995,1,5,10,"타자"
"신재웅",1972-10-10,1995,2002,8,133,10,"투수"
"진필중",1972-10-13,1995,2006,12,510,10,"투수"
"심재학",1972-10-18,1995,2008,14,1247,10,"타자"
"신국환",1972-10-29,1995,2002,8,469,10,"타자"
"김옥일",1972-11-14,1995,1996,2,2,11,"타자"
"김진철",1972-12-15,1995,1997,3,37,12,"투수"
"도명진",1972-12-24,1995,1995,1,13,12,"타자"
"추평호",1973-02-08,1995,1997,2,8,2,"타자"
"안상준",1973-02-13,1995,2007,13,509,2,"타자"
"심성보",1973-02-16,1995,2003,9,758,2,"타자"
"전준호",1975-04-10,1995,2011,14,339,4,"투수"
"이동우",1975-04-20,1995,1995,1,4,4,"타자"
"최희창",1975-06-13,1995,1998,4,36,6,"타자"
"김상우",1975-08-25,1995,1995,1,1,8,"타자"
"김승관",1976-03-05,1995,2007,12,220,3,"타자"
"김억만",1976-03-10,1995,1996,2,19,3,"투수"
"김승권",1976-05-01,1995,2006,10,443,5,"타자"
"박부성",1976-05-10,1995,1997,3,60,5,"투수"
"장승익",1976-06-11,1995,1997,3,14,6,"투수"
"김유봉",1976-06-29,1995,2003,6,99,6,"투수"
"박상일",1976-07-30,1995,1995,1,1,7,"타자"
"신성필",1976-08-17,1995,1996,2,41,8,"투수"
"양종성",1976-10-02,1995,1995,1,2,10,"타자"
"조현",1976-10-04,1995,2002,5,243,10,"타자"
"이용주",1976-10-31,1995,2002,6,95,10,"타자"
"김영진",1976-12-05,1995,1996,2,67,12,"타자"
"김진삼",1977-01-13,1995,2001,4,35,1,"타자"
"정수근",1977-01-20,1995,2009,15,1544,1,"타자"
"장용",1977-02-25,1995,1995,1,1,2,"투수"
"김경호",1963-04-07,1996,1996,1,10,4,"타자"
"김재성",1969-05-27,1996,1996,1,1,5,"타자"
"노종우",1969-08-29,1996,1997,2,3,8,"투수"
"박철웅",1970-04-15,1996,1997,2,12,4,"투수"
"권오영",1970-08-15,1996,1999,2,40,8,"타자"
"유필선",1970-09-06,1996,2001,6,179,9,"타자"
"권오성",1970-10-26,1996,1999,4,119,10,"타자"
